rank,country,lower_single_house_elections,lower_single_house_seats,lower_single_house_women,lower_single_house_percent_w,upper_house_senate_elections,upper_house_senate_seats,upper_house_senate_women,upper_house_senate_percent_w,lower_single_house_elections_year,upper_house_senate_elections_year
5,Costa Rica,2002-02-01,57.0,20.0,0.3508771929824561,,0.0,0.0,,2002,NaT
7,Netherlands,2002-05-01,150.0,51.0,0.34,1999-05-01,75.0,20.0,0.26666666666666666,2002,1999
8,Argentina,2001-10-01,257.0,79.0,0.30739299610894943,2001-10-01,72.0,24.0,0.3333333333333333,2001,2001
11,New Zealand,2002-07-01,120.0,35.0,0.2916666666666667,,0.0,0.0,,2002,NaT
12,Spain,2000-03-01,350.0,99.0,0.28285714285714286,2000-03-01,259.0,63.0,0.24324324324324326,2000,2000
13,Cuba,1998-01-01,601.0,166.0,0.2762063227953411,,0.0,0.0,,1998,NaT
14,Viet Nam,2002-05-01,498.0,136.0,0.27309236947791166,,0.0,0.0,,2002,NaT
15,Austria,1999-10-01,183.0,49.0,0.2677595628415301,,64.0,13.0,0.203125,1999,NaT
16,Grenada,1999-01-01,15.0,4.0,0.26666666666666666,1999-01-01,13.0,1.0,0.07692307692307693,1999,1999
17,Bulgaria,2001-06-01,240.0,63.0,0.2625,,0.0,0.0,,2001,NaT
18,Dem. Rep. of East Timor,2001-08-01,88.0,23.0,0.26136363636363635,,0.0,0.0,,2001,NaT
19,Turkmenistan,1999-12-01,50.0,13.0,0.26,,0.0,0.0,,1999,NaT
20,Rwanda,1994-11-01,74.0,19.0,0.25675675675675674,,0.0,0.0,,1994,NaT
21,Australia,2001-11-01,150.0,38.0,0.25333333333333335,1998-10-01,76.0,22.0,0.2894736842105263,2001,1998
22,Namibia,1999-11-01,72.0,18.0,0.25,1998-11-01,26.0,2.0,0.07692307692307693,1999,1998
23,Uganda,2001-06-01,304.0,75.0,0.24671052631578946,,0.0,0.0,,2001,NaT
24,Seychelles,1998-03-01,34.0,8.0,0.23529411764705882,,0.0,0.0,,1998,NaT
25,Belgium,1999-06-01,150.0,35.0,0.23333333333333334,1999-06-01,71.0,20.0,0.28169014084507044,1999,1999
26,Switzerland,1999-10-01,200.0,46.0,0.23,1999-10-01,46.0,9.0,0.1956521739130435,1999,1999
27,Lao People's Democratic Rep.,2002-02-01,109.0,25.0,0.22935779816513763,,0.0,0.0,,2002,NaT
28,Saint Vincent & the Grenadines,2001-03-01,22.0,5.0,0.22727272727272727,,0.0,0.0,,2001,NaT
29,United Rep. of Tanzania,2000-10-01,274.0,61.0,0.22262773722627738,,0.0,0.0,,2000,NaT
30,Monaco,1998-02-01,18.0,4.0,0.2222222222222222,,0.0,0.0,,1998,NaT
31,China,,2984.0,650.0,0.217828418230563,,0.0,0.0,,NaT,NaT
32,Nicaragua,2001-11-01,92.0,19.0,0.20652173913043478,,0.0,0.0,,2001,NaT
33,Canada,2000-11-01,301.0,62.0,0.2059800664451827,,105.0,34.0,0.3238095238095238,2000,NaT
34,Croatia,2000-01-01,151.0,31.0,0.2052980132450331,1997-04-01,65.0,4.0,0.06153846153846154,2000,1997
35,Poland,2001-09-01,460.0,93.0,0.20217391304347826,2001-09-01,100.0,23.0,0.23,2001,2001
36,Dem. People's Rep. of Korea,1998-07-01,687.0,138.0,0.20087336244541484,,0.0,0.0,,1998,NaT
37,Guyana,2001-03-01,65.0,13.0,0.2,,0.0,0.0,,2001,NaT
38,Burundi,1993-06-01,169.0,33.0,0.1952662721893491,2002-02-01,54.0,0.0,0.0,1993,2002
39,Senegal,2001-04-01,120.0,23.0,0.19166666666666668,,0.0,0.0,,2001,NaT
40,Portugal,2002-03-01,230.0,44.0,0.19130434782608696,,0.0,0.0,,2002,NaT
41,Dominica,2000-01-01,32.0,6.0,0.1875,,0.0,0.0,,2000,NaT
42,Bolivia,2002-06-01,130.0,24.0,0.18461538461538463,2002-06-01,27.0,4.0,0.14814814814814814,2002,2002
43,Peru,2001-04-01,120.0,22.0,0.18333333333333332,,0.0,0.0,,2001,NaT
44,United Kingdom,2001-06-01,659.0,118.0,0.17905918057663125,,713.0,117.0,0.1640953716690042,2001,NaT
45,Estonia,1999-03-01,101.0,18.0,0.1782178217821782,,0.0,0.0,,1999,NaT
"""",Philippines,2001-05-01,214.0,38.0,0.17757009345794392,2001-05-01,24.0,3.0,0.125,2001,2001
46,Suriname,2000-05-01,51.0,9.0,0.17647058823529413,,0.0,0.0,,2000,NaT
47,The f.Y.R. of Macedonia,2002-09-01,120.0,21.0,0.175,,0.0,0.0,,2002,NaT
48,Dominican Republic,2002-05-01,150.0,26.0,0.17333333333333334,2002-05-01,32.0,2.0,0.0625,2002,2002
49,Botswana,1999-10-01,47.0,8.0,0.1702127659574468,,0.0,0.0,,1999,NaT
"""",Czech Republic,2002-06-01,200.0,34.0,0.17,2000-11-01,81.0,10.0,0.12345679012345678,2002,2000
50,Luxembourg,1999-06-01,60.0,10.0,0.16666666666666666,,0.0,0.0,,1999,NaT
"""",Trinidad and Tobago,2001-12-01,36.0,6.0,0.16666666666666666,2001-12-01,31.0,10.0,0.3225806451612903,2001,2001
51,Mexico,2000-07-01,500.0,80.0,0.16,2000-07-01,128.0,20.0,0.15625,2000,2000
52,Angola,1992-09-01,220.0,34.0,0.15454545454545454,,0.0,0.0,,1992,NaT
53,Eritrea,1994-02-01,150.0,22.0,0.14666666666666667,,0.0,0.0,,1994,NaT
